# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
72.8802689535	28.5269079338	0.00091	0.00076	90	72.8802582275	28.5268756203	155132191506964480	2015.0	0.494	0.424	1.46	0.62	-2.262	0.051	-7.755	0.042	-0.255	0	76	6.11561e+07	2.93794e+05	6.059	NOT_AVAILABLE	173.5278417756	-9.9598795085
65.0414469788	31.9531755210	0.00077	0.00054	90	65.0414393109	31.9531217649	166534333245556992	2015.0	0.571	0.423	5.25	0.66	-1.561	0.035	-12.901	0.023	-0.003	0	93	1.18746e+08	5.12940e+05	5.338	NOT_AVAILABLE	166.3544586235	-12.8088628426
62.7077535533	26.4809544148	0.00116	0.00062	90	62.7076096541	26.4808084894	162405529644328960	2015.0	0.946	0.494	15.95	0.97	-30.912	0.044	-35.022	0.025	0.050	0	151	1.16998e+08	5.12839e+05	5.354	NOT_AVAILABLE	168.9601511639	-18.0801436715
63.2435122921	32.5327267548	0.00074	0.00038	90	63.2434795991	32.5326512594	169581183047085824	2015.0	0.498	0.204	3.69	0.55	-6.615	0.037	-18.119	0.021	0.593	0	229	7.79051e+07	1.44943e+05	5.796	NOT_AVAILABLE	164.8352802815	-13.4869799676
58.8461574807	31.0458439983	0.00075	0.00042	90	58.8461510110	31.0458367367	168450541495088512	2015.0	0.480	0.186	1.38	0.48	-1.330	0.038	-1.743	0.025	0.091	0	235	5.86963e+07	2.51328e+05	6.103	NOT_AVAILABLE	163.0813531535	-17.1362024237
66.1563082137	33.9594262032	0.00035	0.00029	90	66.1563082137	33.9594262032	172817595522037248	2015.0	0.354	0.290							-0.319	0	93	8.74312e+07	2.00171e+05	5.671	NOT_AVAILABLE	165.5310316953	-10.7472006339
66.1214816240	34.1307578444	0.00094	0.00067	90	66.1215877954	34.1306156089	172824261311273728	2015.0	0.763	0.550	6.57	0.90	21.092	0.037	-34.137	0.026	-0.005	0	69	8.02771e+07	2.84201e+05	5.763	NOT_AVAILABLE	165.3844149522	-10.6503611804
63.7169505970	37.5426710541	0.00071	0.00041	90	63.7169121522	37.5426548724	177739524964356224	2015.0	0.353	0.177	7.96	0.27	-7.316	0.041	-3.884	0.025	-0.636	0	214	6.48239e+07	5.92499e+04	5.995	NOT_AVAILABLE	161.5245428549	-9.6484291261
66.0835053538	35.2391856185	0.00608	0.00534	0	66.0835510754	35.2391138940	176317134875243264	2015.0	0.609	0.378	3.10	0.52	8.962	0.353	-17.214	0.405	-0.266	0	65	6.09126e+07	5.05714e+04	6.063	NOT_AVAILABLE	164.5460916343	-9.9091780183
67.6600307291	32.4577687365	0.00058	0.00048	90	67.6600666210	32.4576900321	171678535834964224	2015.0	0.386	0.370	7.39	0.48	7.268	0.029	-18.889	0.021	-0.114	0	82	5.35649e+07	5.90518e+04	6.203	NOT_AVAILABLE	167.5229120303	-10.8452017542
